timestamp,collateral_price,collateral_bought,collateral_remaining,participant_id
0,3106,0,32217.34,0x135954d155898d42c90d2a57824c690e0c7bef1b
1800,2540,400,31817.34,0x000000000027e25734610f613a1458415d13d4de
1800,2540,400,31417.34,0x000000000027e25734610f613a1458415d13d4de
1980,2490,400,31017.34,0x000000000027e25734610f613a1458415d13d4de
2040,2490,40.17,30977.17,0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e
2055,2465,400,30577.17,0x000000000027e25734610f613a1458415d13d4de
2160,2465,400,30177.17,0x000000000027e25734610f613a1458415d13d4de
2175,2440,400,29777.17,0x000000000027e25734610f613a1458415d13d4de
2175,2440,400,29377.17,0x000000000027e25734610f613a1458415d13d4de
2175,2440,2028.17,27348.46,0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae
2220,2440,40,27308.46,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2235,2416,100,27208.46,0x000000000027e25734610f613a1458415d13d4de
2235,2416,100,27108.46,0x000000000027e25734610f613a1458415d13d4de
2340,2391,100,27008.46,0x000000000027e25734610f613a1458415d13d4de
2355,2391,40,26968.46,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2400,2391,100,26868.46,0x000000000027e25734610f613a1458415d13d4de
2400,2391,100,26768.46,0x000000000027e25734610f613a1458415d13d4de
2400,2391,40,26728.46,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2415,2368,20.90,26707.56,0x6fe26b91bfb8fd476aa1cd4d6c0b325f0959631c
2460,2368,100,26607.56,0x000000000027e25734610f613a1458415d13d4de
2460,2368,40,26567.56,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2460,2368,3911.72,22655.84,0x22fa8cc33a42320385cbd3690ed60a021891cb32
2460,2368,100,22555.84,0x000000000027e25734610f613a1458415d13d4de
2460,2368,100,22455.84,0x000000000027e25734610f613a1458415d13d4de
2520,2344,434.04,22021.80,0xb316aa7a75b3f0e856d2022b5e2987f5f49ae355
2520,2344,40,21981.80,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2580,2344,100,21881.80,0x000000000027e25734610f613a1458415d13d4de
2580,2344,100,21781.80,0x000000000027e25734610f613a1458415d13d4de
2640,2320,45,21736.80,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2640,2320,100,21636.80,0x000000000027e25734610f613a1458415d13d4de
2700,2320,55,21581.80,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2715,2297,100,21481.80,0x000000000027e25734610f613a1458415d13d4de
2715,2297,100,21381.80,0x000000000027e25734610f613a1458415d13d4de
2715,2297,145.69,21236.11,0xa91c2ceb9d2e343bfd5a12d5b3b3794346a8c473
2715,2297,60,21176.44,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2760,2297,8.67,21167.44,0xfa3e7d5c0b7e004371af2507ae61ffa1cab0e0ea
2760,2297,25.86,21141.58,0x989ad8e2aae99393585342ba94931f7de5e5a96f
2760,2297,87.12,21054.46,0x46a0b4fa58141aba23185e79f7047a7dfd0ff100
2775,2274,4295.08,16759.38,0x22fa8cc33a42320385cbd3690ed60a021891cb32
2820,2274,435.16,16324.22,0x015567a53ab5778ddd2e125f116c2e51fd49ef25
2820,2274,385.51,15938.72,0x52def6c112bffc66fc8c8258539d4d8c30c5000c
2820,2274,60,15878.72,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2820,2274,75,15803.72,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2820,2274,100,15703.72,0x000000000027e25734610f613a1458415d13d4de
2880,2251,196.13,15507.59,0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e
2280,2251,1680.6,13826.99,0x03d15cd9eedecbec37bae097c98d53438ad83e84
2280,2251,1161.40,12655.59,0xb316aa7a75b3f0e856d2022b5e2987f5f49ae355
2295,2251,21.99,12643.61,0x834adda8597eda06d14ea8583e52891a2ceee327
2295,2251,90,12553.61,0x008ca3a9c52e0f0d9ee94d310d20d67399d44f6c
2340,2251,8384.35,4169.26,0xe121b5b11113672f3cbc5085f1c4e7936fd5539e
